did,Driver,Compound,Race,Year,PitStop,LapNumber,Stint,TyreLife,Position,LapTime (s),LapTime_Delta,Cumulative_Degradation,RaceProgress,Position_Change,PitNextLap
336119,D075,HARD,Singapore Grand Prix,2023,0,4,2,4.0,8,101.732,-40.86800000000001,-41.869,0.064516129032258,0.0,0
332554,KLE,HARD,Abu Dhabi Grand Prix,2023,0,10,1,10.0,8,90.613,-0.1359999999999956,-19.958,0.1724137931034483,1.0,0
37543,PRO,HARD,Australian Grand Prix,2023,0,10,2,10.0,13,83.152,0.0390000000000014,-7.638999999999996,0.175438596491228,0.0,0
304539,D110,HARD,Hungarian Grand Prix,2023,0,22,2,8.0,18,84.527,0.1820000000000021,-18.0,0.3188405797101449,0.0,0
366287,D270,HARD,Spanish Grand Prix,2023,0,26,3,4.0,14,80.849,-18.898,-18.898,0.3939393939393939,1.0,0
45053,SCH,HARD,Miami Grand Prix,2023,0,56,2,33.0,3,91.286,-0.1580000000000012,-15.944000000000004,0.9824561403508772,0.0,0
272400,D029,HARD,Japanese Grand Prix,2025,0,8,2,8.0,7,93.489,-4.579999999999998,-24.919,0.1538461538461538,0.0,0
286629,FIS,HARD,Las Vegas Grand Prix,2024,0,28,3,2.0,17,99.902,-19.738,-19.738,0.3636363636363636,1.0,0
194805,FER,HARD,Pre-Season Testing,2023,0,10,1,10.0,19,94.557,-0.0139999999999957,-10.003,0.1923076923076923,0.0,0
297402,D076,HARD,Japanese Grand Prix,2023,0,37,2,18.0,3,100.241,-0.2279999999999944,-16.052999999999997,0.6981132075471698,0.0,0
206690,D010,HARD,United States Grand Prix,2022,0,45,3,28.0,17,102.853,26.016000000000005,-58.97900000000001,0.625,-2.0,0
396946,D061,HARD,United States Grand Prix,2023,0,41,2,24.0,5,102.211,-0.081000000000003,-19.814,0.5857142857142857,0.0,0
322128,D334,HARD,Canadian Grand Prix,2023,0,49,3,10.0,1,77.811,-0.0180000000000006,-3.067999999999998,0.7,1.0,0
290267,BER,HARD,Canadian Grand Prix,2022,0,31,3,21.0,7,78.567,-10.098,-12.862000000000007,0.4428571428571428,3.0,0
268728,OCO,HARD,Japanese Grand Prix,2025,0,2,1,3.0,18,97.074,-2.732,-5.255999999999986,0.0259740259740259,-10.0,0
254008,D043,HARD,Emilia Romagna Grand Prix,2025,0,12,2,5.0,5,87.859,-4.948999999999998,-25.320000000000007,0.1558441558441558,11.0,0
337137,D133,HARD,Abu Dhabi Grand Prix,2025,0,5,1,5.0,14,90.162,1.4420000000000073,70.851,0.0657894736842105,6.0,0
82820,D189,HARD,Austrian Grand Prix,2024,0,30,2,20.0,13,71.683,-10.869,-49.777,0.3947368421052631,4.0,0
333922,FIS,HARD,Japanese Grand Prix,2023,0,21,2,20.0,6,99.845,0.5640000000000072,-19.827,0.3962264150943396,1.0,0
96215,D076,HARD,Canadian Grand Prix,2023,0,23,2,18.0,11,78.976,-0.0720000000000027,-53.907,0.3285714285714285,0.0,0
180028,YAM,HARD,Monaco Grand Prix,2024,0,72,3,46.0,13,83.701,-0.0769999999999981,-33.622,0.9473684210526316,0.0,0
280246,D081,HARD,United States Grand Prix,2023,0,49,3,19.0,4,101.051,0.1829999999999927,-19.85300000000001,0.875,0.0,0
370152,D186,HARD,Monaco Grand Prix,2025,1,6,1,6.0,6,76.062,-6.869,89.72600000000003,0.0769230769230769,-1.0,0
265552,HEI,HARD,Australian Grand Prix,2023,0,49,2,44.0,3,78.829,-0.0930000000000035,-7.591999999999999,0.8448275862068966,0.0,0
316367,KEN,HARD,Bahrain Grand Prix,2023,0,53,3,24.0,8,97.856,0.117999999999995,-21.004999999999995,0.9298245614035088,0.0,0
236437,D042,HARD,Qatar Grand Prix,2024,0,50,4,16.0,6,85.921,-8.724999999999994,-28.372,0.6410256410256411,-5.0,0
202500,KOV,HARD,Singapore Grand Prix,2023,0,28,2,14.0,8,99.715,-0.6899999999999977,-44.759,0.4516129032258064,0.0,0
334847,D213,HARD,Austrian Grand Prix,2024,1,32,3,4.0,18,70.948,-10.924000000000008,-41.00500000000001,0.4210526315789473,-3.0,0
10508,VIS,HARD,Canadian Grand Prix,2025,0,53,3,10.0,5,74.769,-7.730999999999994,-31.617000000000004,0.6794871794871795,-1.0,0
318266,GUT,HARD,Miami Grand Prix,2025,1,26,1,5.0,6,93.863,-2.9569999999999936,103.566,0.3333333333333333,1.0,0
312789,D035,HARD,Abu Dhabi Grand Prix,2023,0,36,3,7.0,17,89.759,-0.2560000000000002,-21.17,0.631578947368421,0.0,0
403097,D250,HARD,Austrian Grand Prix,2024,1,38,3,2.0,18,70.5,-7.951999999999998,-18.24799999999999,0.5,-6.0,0
340564,ARN,HARD,Las Vegas Grand Prix,2023,0,49,2,32.0,11,97.722,-0.4900000000000091,-5.344000000000008,0.98,0.0,0
160643,D092,HARD,Azerbaijan Grand Prix,2023,0,15,2,5.0,5,107.486,-0.0429999999999921,-21.581000000000003,0.2941176470588235,2.0,0
390914,D255,HARD,Las Vegas Grand Prix,2023,0,40,2,27.0,4,97.789,-0.0069999999999907,-11.070999999999984,0.8,0.0,0
313373,BRU,HARD,Pre-Season Testing,2024,0,47,2,25.0,3,98.326,9.759999999999993,-18.989000000000004,0.6025641025641025,0.0,0
141557,D330,HARD,Italian Grand Prix,2023,0,25,2,8.0,2,86.065,-0.0970000000000084,-20.567,0.4901960784313725,-1.0,0
